relative_path,sha256,bytes,frames
MeshMamba_non_texture_Boombox_v2_L3/fixations.json,179a91364bf3e8a4ad61de1d9f2da6a3c2ef2fb8f111c5e9dbaa1d9824d98675,730217,510
MeshMamba_non_texture_Camel_toy_v03_L3/fixations.json,eaf4bb84f8c12d5f6bf0fad854cf705e2243c39b0841c7be3f6502b40e6f04bd,756285,510
MeshMamba_non_texture_Cardigan_Welsh_Corgi_v1_L3/fixations.json,d3b6a54f633bd50826b443cbb7ab2393df7f66cc4a964a0cc6d28f6bd46fa80c,734542,510
MeshMamba_non_texture_Cat_v1_L3/fixations.json,632d44481f14f7b672b9fc79c6d51b1845ff7e47fc99c9da122424916a10a69e,739518,510
MeshMamba_non_texture_Charging_Bull_Statue_of_Wall_Street_v1/fixations.json,87b5baded4c36afb2d95b1078f47cfc04a58d3138449fbb5b4f09021842d5343,735924,510
MeshMamba_non_texture_Chinese_coin/fixations.json,937a17c6977995e96a1b9fc32380eb1167ee4a77e81bddb0a9a04d348cde0186,727451,510
MeshMamba_non_texture_Chips_v1_L3/fixations.json,367c32a56946c9f6e00ceeb0afe18b5d26d04fd6abc3dc8b99f4e4eb8ac1569e,726523,510
MeshMamba_non_texture_Christmas_Bear/fixations.json,6db20b08093014db02b4991cf646627e64a0959c0b70613615e751554f2fc710,727055,510
MeshMamba_non_texture_CrawlingBaby_v1_L1/fixations.json,0f34d4a4c75c9cb3dfb79bee55167208b1162ff7a8457ab4619893f9e54bef02,735197,510
MeshMamba_non_texture_Deathstroke-obj/fixations.json,64a0c697897536a7bfb5bc7f9aa48ff71b562bc3ead08243e6060b49517d0822,745792,510
MeshMamba_non_texture_Diavolo_Mask_v1_L3/fixations.json,758c20b8f4abce08ec0e17e9c7d128a025c600c0fcc0be6c19bfd3ebb954ca33,733206,510
MeshMamba_non_texture_Domestic_cat_V2_L3/fixations.json,6f85abd5e31039c46fe8ff7d0fca2b03b87bbe4e3363970872440eb613eadd24,757094,510
MeshMamba_non_texture_Eagle_wood_v1_L3/fixations.json,19ce3cceb7f7fd178665626828afbbc813da4728fd3a2f8862f4264be40716d4,731792,510
MeshMamba_non_texture_Elephant_v01_l3/fixations.json,82b53a886bb75b2b3dd6f8763f4267e8a2c423def1c64886d42dc213375c7d09,727660,510
MeshMamba_non_texture_Fighter_Jet_SG_v1_L3/fixations.json,81d27596444567e920445bbefeae285ca93b93bf61e41f52546c9f30ee4ab9dd,737798,510
MeshMamba_non_texture_Flying_saucer_v1_L3/fixations.json,bc4eda4685d15c8519c33ff6d5e6b047453a16bb121a3c0010079d4cfb53dada,751031,510
MeshMamba_non_texture_Frog_v1_L3/fixations.json,06a4b3ebaf26e1ef1fd1309772cd3b5031568eac23d12ee099736d1c8ada926a,775980,510
MeshMamba_non_texture_Gold_Doubloon_v1_L1/fixations.json,702a9f4181dfc1c3e96309810b59b39d6a781d63d2c561ba47eec0a9bc1a7577,728586,510
MeshMamba_non_texture_GrayAlien_v01_L3/fixations.json,0aa33c97119aec789dc2309312b5bf03ed9a3f53b82046b799b4f33372ca0e2c,720235,510
MeshMamba_non_texture_Great_Dane_v1_L3/fixations.json,ec1268f789f4ab6cbfb121822249df543cdc34e61b252de4360561ad503708f7,737209,510
MeshMamba_non_texture_Gun_Powder_Keg_v1_L3/fixations.json,d5049f4d50ff9a0e92b5c0c2560541a21d2ec90ccf34374d7497b0d002d06b9e,733220,510
MeshMamba_non_texture_Handheld_Game_unit_v1_L3/fixations.json,fe90d463f3a1c3af265c25245d479ffe9bcda609726137e347952cc4212eace8,748734,510
MeshMamba_non_texture_Holsteind_v2_L3/fixations.json,52c68bc305b0a13de52124c39d628c5378089643be70e23af9ff13b7ee52b271,753662,510
MeshMamba_non_texture_Horse_v01_L3/fixations.json,57f8078ace143596ce708255f78a1ef1b043d604c099b727a303662a7e1c41c3,753714,510
MeshMamba_non_texture_Hover_Truck_v1_L2/fixations.json,ccf14c4bff562c99e99565b012011da08e2164c7c51bb63abbf0bce63d48ff0b,727705,510
MeshMamba_non_texture_Ice_Cream_V1_L3/fixations.json,c83bf9dd704f194058647e236ca7bb1d25417d39fab47505a75c2a05390fc280,726130,510
MeshMamba_non_texture_Ichthyosaurus_V1_L2/fixations.json,55c1811146590d4f65934a946f92bec8c69462ab2f5c4325ef59b2b18a57fcd8,732510,510
MeshMamba_non_texture_Impact_Driver_v2_L3/fixations.json,7e7b90a68c11465ea03e28838622186e710d3ed7979c2e34691b0b6a5f3809ed,748586,510
MeshMamba_non_texture_Jambu_Fruit_Dove_v1_L3/fixations.json,b41e8a057a1bfbfa5de79e6b1957bda54423b9de8530835ad6220191c5029539,738201,510
MeshMamba_non_texture_Jukebox_bubbler_style_V2_L1/fixations.json,133f9c8d781b84fdfcdab4b08f1cf067632b117a51264fcfe3d91e5482ce091a,749784,510
MeshMamba_non_texture_Kangaroo_v1_L3/fixations.json,5a9c06ae142cc23c176115a7c29bf94e3112bf505ab47af6da500463af9a4c67,739483,510
MeshMamba_non_texture_King_Cake_v2_L2/fixations.json,80582c6a42c98d5b0a39aaf235d26aff5adb9c09b834b8cc0257fb6cf1b8f8dc,731748,510
MeshMamba_non_texture_Lamb_v1_L2/fixations.json,1ef702ec029f70c9f0aee403e9742ee4e4239f80bfa630c6e13ca72ce4c409c6,733036,510
MeshMamba_non_texture_Laser_Pistol_v2_L3/fixations.json,e699cafb10dd4202fd6afef4f649068e4fe56277015e3e4469f6e7a9b3ede756,730567,510
MeshMamba_non_texture_Mango_L3/fixations.json,cbd19db0df7e925f4a642fc22ae7a7b1889f79dacc1cdd0b1cc2012434d58859,731143,510
MeshMamba_non_texture_MansWorkCasual_v02_L3/fixations.json,c98dd9c832765fcf9f8f2af5e638c0e3f1e302ac75ed0861be8aa281003ce4b1,722756,510
MeshMamba_non_texture_Marco_Polo_Sheep_v1_L3/fixations.json,b6c2356457d66fc5e4771ca829d68844c7fbf9a2341cfee41820c2a891cc1d1e,756392,510
MeshMamba_non_texture_Military_Action_Figure_SG_v2_L3/fixations.json,25f8081e99cd0ef08eb4d1b22b74bf2d24c1fca31b44e1063d548c2c91da493c,720207,510
MeshMamba_non_texture_Moai_v3_L3/fixations.json,428cb9a997be046fcdd072734101c8e83e0b1ede8cc6dc0388bf357800123b48,727092,510
MeshMamba_non_texture_MushroomShitake_L3/fixations.json,8735c25b67877dff1e4b7e9b2a78d4d393b15891b201917e97b40a82e9f02a8d,728023,510
MeshMamba_non_texture_Mushroom_v2_L1/fixations.json,b8a29b846b88663c3b8997f95e59fffadef6ab3ccff77b114ad62598231156c2,730132,510
MeshMamba_non_texture_NYC_Fire_Hydrant_v2_L3/fixations.json,90e1b1de33379de26ddb5a4aebafdd7a17486996c40dc233053cdcdc811602ac,721956,510
MeshMamba_non_texture_Peach_L3/fixations.json,d2541ecfd85dece0ee6db8c09abb073197bdc21b49c0eb5f44a0ab24029561cf,733874,510
MeshMamba_non_texture_Peanut_L3/fixations.json,67ca38b1f93ff51d90f1bee7140af51dfbdbf84c560a11a3fd677589e0eb726e,750389,510
MeshMamba_non_texture_Pear_L3/fixations.json,e031cf05a147998e202d532e7b14a0ed9c592dcd4272cc7f99bef89105a993c5,714561,510
MeshMamba_non_texture_Penguin_V2_L3/fixations.json,3b87e6486e0d291f1c100785c4f0d905e23dfdbe31293244936b54db468c4153,725920,510
MeshMamba_non_texture_Pierrot_Mask_v1_L3/fixations.json,d4f6d2051d80fbe357e11ea08b729c9390c0779c36a2756716397ee3e2008915,749312,510
MeshMamba_non_texture_Pirate_Shipmate_Old_v1_L1/fixations.json,e2cbd538b17e3612b717c48e42ed8a1c3621b34afc05c2db233cbcc5462b3015,748582,510
MeshMamba_non_texture_Plate/fixations.json,bc6bcd4bf096a53972110277300d0637a6e6d6945adf322b330e9b73245ae884,749913,510
MeshMamba_non_texture_PoloTeamShirt_v2_L3/fixations.json,6ed26fa4c8d68acfd66d03d3dbec4a30aa31fe9513f2c6ba3f6551216d07781e,767150,510
MeshMamba_non_texture_Possum_wooden_v1_L3/fixations.json,0c74c8401e2d8390e3ec62c4d2492edc83e970f8867bde1996b02c0d98f06e2f,732816,510
MeshMamba_non_texture_Raptor_Claw_Fossil_v2_L3/fixations.json,26d7a3546a884c833b20da32030e5e0a861809c772c3e0ac53b9153a18ab7aa6,769982,510
MeshMamba_non_texture_Rhinoceros_v1_L3/fixations.json,4960b178c7039c2ce8ef6e1987e66801616b0ce6382ee5bfadf625fd88650f91,778447,510
MeshMamba_non_texture_Rocket_Ship_v1_L3/fixations.json,e26d590648b844a7d4619eebd836bd4d43546d85bd393ee87efa70a356020b7c,764495,510
MeshMamba_non_texture_Rubber_Duck_v1_L3/fixations.json,146df14d39ac7e1e7073e4cef5c6ce57bb687c46626b72a2ae63f02f8f13fc71,734893,510
MeshMamba_non_texture_SLR_Camera_V1_L3/fixations.json,f6892e5802adf6e264a3f2eec7f13f8b07bfa5bafb3d17d587a0e4ab0b8fe4af,729066,510
MeshMamba_non_texture_SeaHorse_v2_L3/fixations.json,e9f3d0c4ee9840a775811b4c38839ca80062cfcdb87f8e0dd2dee7e295d80260,721855,510
MeshMamba_non_texture_Seagull_v1_L3/fixations.json,77af9b3fa48670a45aabc33f528ff91153c4b60a7662ac7918edb5b814ba7be9,741581,510
MeshMamba_non_texture_Seal_wooden_v1_L3/fixations.json,fdeb5e8ef533e6f2bd26062e4f087ce6369e56118152f3e8cdb047b6c89e559d,749933,510
MeshMamba_non_texture_Sheep_doll_v1_L3/fixations.json,9e49e57cd6d7cfeb9bfeeb7a16fc1689714b9bc7c7cad94a59eb84947892c3f8,736326,510
MeshMamba_non_texture_SittingBaby_v1_L1/fixations.json,54077cb9902b8194d63607bb87b647f35b6f6dc978aad540d57c252b699c973c,724700,510
MeshMamba_non_texture_Sitting_inside_an_egg_v1_L1/fixations.json,8a96d147c37b399882cbd6f3164f20822a3008bef16f1e96afdf462d28972e3f,745808,510
MeshMamba_non_texture_Soda_Can_v3_L3/fixations.json,1fdc23ccee50d9cf51ce6c8a3474f7f910cc3d83eb70ceac047cae6ea6a3706b,747581,510
